"start_index","end_index","start_name","end_name","min_start_index_time","mean_start_index_time","max_start_index_time","min_end_index_time","mean_end_index_time","max_end_index_time","min_path_time","mean_path_time","max_path_time","min_path_minus_start_time","mean_path_minus_start_time","max_path_minus_start_time","min_path_minus_end_time","mean_path_minus_end_time","max_path_minus_end_time","raw_start_index_time","raw_end_index_time","raw_path_time"
11,12,"fire3/squeeze1x1","fire3/relu_squeeze1x1",79.,82.3,146.,40.,41.066700000000004,59.,111.,112.36670000000001,205.,32.,30.0667,59.,71.3,71.3,146.,"{146., 91., 85., 83., 82., 99., 84., 81., 81., 79., 79., 80., 80., 79., 80., 79., 80., 79., 80., 109., 91., 90., 89., 89., 89., 88., 89., 89., 89., 89., 89., 92., 79., 80., 80., 80., 81., 80., 79., 80., 80., 79., 79., 80., 80., 79., 79., 80., 80., 80.}","{59., 45., 42., 42., 41., 42., 41., 48., 42., 41., 41., 40., 41., 41., 41., 41., 42., 41., 41., 41., 41., 42., 42., 41., 41., 41., 41., 41., 41., 41., 42., 41., 41., 41., 41., 41., 41., 41., 41., 41., 41., 41., 42., 41., 41., 41., 41., 41., 41., 41.}","{205., 137., 144., 130., 140., 113., 112., 113., 113., 113., 113., 114., 112., 112., 113., 111., 112., 112., 112., 113., 112., 112., 113., 113., 112., 112., 112., 111., 113., 112., 112., 112., 112., 112., 111., 112., 123., 116., 113., 112., 113., 112., 113., 111., 111., 112., 112., 112., 112., 111.}"
12,13,"fire3/relu_squeeze1x1","fire3/expand1x1",40.,41.066700000000004,60.,138.,140.,183.,170.,174.0333,208.,130.,132.9667,148.,34.033300000000004,34.033300000000004,25.,"{60., 46., 42., 41., 41., 42., 41., 41., 42., 41., 41., 41., 41., 41., 41., 42., 42., 42., 41., 41., 41., 41., 42., 41., 41., 52., 42., 42., 41., 41., 41., 41., 41., 41., 41., 41., 41., 41., 40., 41., 40., 41., 41., 41., 41., 41., 41., 41., 41., 40.}","{183., 146., 142., 141., 154., 141., 141., 139., 139., 140., 138., 139., 140., 139., 138., 141., 138., 139., 140., 141., 140., 139., 139., 138., 139., 139., 174., 153., 151., 153., 152., 168., 153., 164., 140., 139., 139., 140., 140., 140., 139., 139., 138., 138., 138., 139., 139., 141., 139., 139.}","{207., 184., 178., 177., 175., 174., 174., 174., 186., 175., 175., 175., 174., 174., 172., 174., 172., 174., 174., 175., 173., 175., 172., 175., 175., 172., 173., 174., 173., 172., 170., 188., 173., 171., 171., 172., 172., 172., 208., 185., 185., 185., 185., 195., 172., 172., 174., 173., 173., 172.}"
13,14,"fire3/expand1x1","fire3/relu_expand1x1",137.,139.3667,183.,100.,100.9667,118.,263.,265.40000000000003,363.,126.,126.03330000000001,180.,164.4333,164.4333,245.,"{175., 146., 141., 152., 140., 139., 138., 141., 138., 138., 138., 138., 183., 153., 153., 152., 150., 152., 162., 140., 139., 138., 139., 137., 137., 139., 138., 139., 138., 139., 138., 148., 139., 139., 139., 139., 140., 140., 138., 139., 140., 139., 138., 139., 140., 137., 138., 138., 139., 139.}","{118., 103., 102., 102., 100., 101., 102., 100., 101., 101., 101., 110., 102., 101., 101., 101., 100., 101., 100., 113., 102., 101., 101., 101., 100., 101., 100., 102., 101., 101., 101., 102., 101., 101., 101., 100., 100., 100., 101., 101., 101., 102., 100., 101., 101., 100., 101., 100., 101., 100.}","{363., 273., 266., 266., 265., 264., 266., 266., 265., 266., 265., 266., 266., 265., 279., 266., 266., 266., 265., 265., 265., 264., 266., 265., 264., 264., 264., 266., 264., 279., 265., 264., 265., 292., 297., 296., 295., 289., 264., 264., 264., 263., 265., 265., 277., 265., 265., 266., 265., 265.}"
14,15,"fire3/relu_expand1x1","fire3/expand3x3",100.,100.83330000000001,118.,541.,548.1667,625.,"","","","","","","","","","{118., 104., 103., 101., 100., 100., 101., 100., 101., 101., 108., 102., 101., 101., 101., 100., 100., 101., 100., 101., 100., 101., 101., 101., 100., 101., 101., 101., 101., 100., 100., 101., 101., 101., 101., 101., 100., 115., 102., 101., 101., 101., 100., 101., 100., 101., 100., 100., 101., 101.}","{613., 556., 568., 549., 591., 609., 593., 544., 543., 561., 546., 543., 544., 543., 553., 542., 554., 544., 542., 542., 543., 543., 588., 625., 580., 542., 542., 542., 542., 543., 541., 557., 551., 542., 541., 542., 543., 543., 564., 549., 605., 614., 589., 545., 546., 560., 542., 541., 541., 541.}",""
15,16,"fire3/expand3x3","fire3/relu_expand3x3",540.,545.4667000000001,658.,101.,102.7333,121.,665.,670.7333,842.,125.,125.2667,184.,568.,568.,721.,"{658., 634., 568., 544., 544., 544., 544., 544., 554., 545., 541., 543., 543., 542., 542., 543., 555., 544., 611., 610., 574., 541., 543., 559., 544., 541., 541., 542., 541., 543., 556., 543., 541., 541., 541., 541., 609., 627., 577., 548., 548., 547., 546., 547., 560., 542., 542., 542., 540., 541.}","{121., 106., 105., 104., 103., 105., 102., 104., 102., 103., 115., 103., 103., 103., 102., 103., 102., 104., 102., 101., 104., 102., 103., 102., 102., 102., 103., 103., 104., 103., 102., 101., 105., 102., 102., 104., 102., 102., 102., 102., 103., 102., 104., 101., 102., 103., 102., 103., 114., 103.}","{734., 678., 672., 668., 670., 678., 669., 668., 667., 666., 756., 838., 667., 668., 666., 666., 666., 685., 670., 668., 665., 667., 666., 681., 708., 748., 709., 667., 681., 667., 667., 666., 666., 667., 684., 670., 668., 668., 668., 747., 842., 671., 671., 669., 669., 670., 681., 670., 670., 671.}"
16,17,"fire3/relu_expand3x3","fire3/concat",102.,103.10000000000001,120.,159.,160.3333,204.,"","","","","","","","","","{120., 106., 104., 104., 103., 104., 102., 102., 104., 103., 103., 102., 103., 103., 104., 103., 103., 103., 103., 103., 104., 103., 104., 102., 103., 104., 114., 103., 103., 102., 103., 102., 104., 103., 102., 103., 102., 103., 103., 103., 103., 103., 104., 103., 103., 103., 103., 103., 102., 103.}","{204., 188., 165., 161., 160., 161., 171., 161., 160., 161., 160., 160., 160., 161., 160., 160., 161., 160., 160., 161., 160., 159., 160., 160., 160., 160., 160., 160., 160., 159., 161., 172., 161., 161., 160., 161., 160., 160., 161., 160., 159., 161., 160., 161., 160., 160., 160., 160., 161., 160.}",""
17,18,"fire3/concat","pool3_pad",159.,160.3667,177.,461.,463.43330000000003,482.,580.,582.4333,624.,421.,422.0667,447.,119.,119.,142.,"{177., 163., 161., 161., 161., 160., 160., 160., 160., 161., 161., 160., 161., 161., 160., 160., 173., 160., 159., 159., 159., 160., 160., 159., 161., 160., 160., 159., 161., 160., 160., 160., 160., 161., 160., 160., 167., 161., 160., 160., 161., 171., 162., 161., 160., 161., 160., 160., 161., 160.}","{482., 467., 463., 463., 463., 479., 464., 471., 463., 462., 462., 462., 462., 475., 463., 463., 462., 462., 462., 462., 463., 461., 477., 463., 462., 461., 461., 461., 461., 470., 463., 473., 463., 462., 461., 463., 462., 462., 463., 480., 467., 465., 465., 465., 465., 465., 465., 465., 475., 465.}","{624., 602., 589., 583., 599., 583., 582., 582., 581., 580., 593., 581., 582., 581., 580., 580., 592., 595., 582., 580., 581., 580., 580., 581., 594., 582., 581., 581., 580., 580., 580., 594., 581., 590., 580., 581., 581., 580., 601., 584., 583., 583., 583., 583., 583., 593., 582., 582., 583., 582.}"
18,19,"pool3_pad","pool3",462.,463.5,480.,812.,821.7,864.,1231.,1240.5333,1278.,769.,777.0333,798.,418.8333,418.8333,414.,"{479., 467., 464., 463., 462., 462., 472., 463., 480., 465., 463., 462., 463., 462., 462., 462., 474., 464., 463., 463., 462., 462., 463., 463., 462., 476., 463., 469., 464., 463., 463., 462., 463., 462., 473., 464., 463., 463., 462., 463., 462., 462., 480., 467., 465., 465., 465., 465., 464., 472.}","{864., 817., 813., 843., 848., 829., 815., 844., 813., 812., 825., 813., 812., 812., 826., 813., 821., 844., 813., 832., 814., 812., 813., 812., 841., 819., 848., 816., 843., 829., 815., 813., 813., 812., 831., 819., 818., 848., 817., 827., 821., 845., 844., 831., 819., 848., 817., 817., 827., 812.}","{1277., 1278., 1235., 1267., 1234., 1234., 1245., 1232., 1232., 1242., 1246., 1233., 1231., 1249., 1232., 1232., 1247., 1269., 1233., 1253., 1239., 1238., 1249., 1232., 1232., 1242., 1254., 1238., 1237., 1250., 1232., 1232., 1270., 1249., 1238., 1259., 1233., 1233., 1232., 1250., 1238., 1251., 1251., 1233., 1232., 1254., 1237., 1238., 1250., 1243.}"
19,20,"pool3","fire4/squeeze1x1",811.,818.1667,862.,54.,55.3333,112.,906.,920.4667000000001,1010.,95.,102.30000000000001,148.,865.1333000000001,865.1333000000001,898.,"{862., 819., 814., 813., 812., 829., 831., 814., 812., 812., 825., 846., 812., 843., 812., 824., 813., 812., 823., 826., 813., 812., 812., 828., 831., 845., 813., 811., 812., 831., 855., 819., 817., 817., 828., 813., 812., 812., 812., 830., 818., 816., 816., 831., 853., 813., 812., 813., 812., 861.}","{112., 63., 56., 56., 55., 55., 72., 57., 56., 55., 57., 54., 55., 55., 55., 55., 56., 55., 55., 55., 56., 56., 55., 56., 55., 56., 54., 55., 55., 56., 55., 56., 55., 55., 55., 55., 56., 55., 55., 56., 55., 54., 55., 54., 55., 54., 56., 55., 56., 57.}","{932., 956., 939., 929., 913., 906., 945., 940., 948., 914., 910., 908., 943., 913., 912., 910., 930., 926., 921., 909., 928., 917., 913., 910., 908., 922., 912., 908., 940., 1010., 919., 938., 915., 928., 916., 911., 915., 908., 933., 986., 948., 911., 926., 930., 908., 912., 933., 917., 912., 916.}"
20,21,"fire4/squeeze1x1","fire4/relu_squeeze1x1",53.,55.,116.,34.,35.,49.,70.,70.4333,136.,17.,15.433300000000001,20.,35.4333,35.4333,87.,"{116., 62., 56., 55., 55., 70., 56., 55., 56., 55., 56., 55., 55., 55., 55., 54., 55., 55., 55., 55., 56., 55., 55., 56., 54., 55., 55., 54., 54., 55., 55., 55., 55., 55., 55., 55., 55., 55., 54., 55., 55., 55., 54., 53., 55., 55., 54., 54., 56., 54.}","{49., 38., 35., 35., 36., 35., 36., 35., 36., 35., 35., 36., 35., 35., 35., 35., 35., 35., 34., 35., 35., 35., 35., 35., 35., 49., 36., 36., 35., 35., 35., 34., 35., 35., 35., 35., 35., 35., 35., 36., 35., 35., 35., 35., 35., 35., 35., 35., 35., 35.}","{136., 78., 72., 71., 71., 72., 71., 72., 71., 71., 70., 71., 71., 71., 70., 70., 70., 70., 71., 70., 71., 70., 70., 70., 71., 71., 71., 70., 70., 70., 70., 71., 70., 70., 70., 70., 70., 71., 70., 71., 70., 70., 70., 70., 70., 70., 70., 71., 71., 70.}"
21,22,"fire4/relu_squeeze1x1","fire4/expand1x1",34.,35.,49.,88.,90.0667,156.,109.,111.33330000000001,195.,75.,76.33330000000001,146.,21.2667,21.2667,39.,"{49., 38., 36., 35., 35., 35., 35., 35., 35., 35., 35., 35., 35., 36., 35., 35., 35., 36., 35., 35., 35., 35., 35., 35., 35., 35., 34., 35., 35., 35., 35., 35., 35., 35., 35., 35., 35., 35., 34., 35., 35., 35., 35., 35., 35., 35., 35., 35., 35., 35.}","{156., 116., 101., 103., 101., 101., 100., 109., 91., 90., 90., 91., 90., 90., 91., 89., 90., 90., 91., 89., 88., 91., 90., 90., 90., 89., 105., 92., 89., 89., 88., 90., 89., 89., 92., 89., 91., 91., 88., 88., 91., 90., 89., 89., 89., 89., 89., 90., 88., 90.}","{195., 133., 142., 126., 127., 113., 111., 111., 111., 111., 111., 111., 110., 111., 111., 111., 111., 111., 117., 116., 113., 111., 111., 112., 110., 112., 109., 112., 110., 113., 110., 111., 111., 109., 112., 110., 111., 126., 112., 111., 112., 110., 111., 112., 110., 110., 112., 111., 112., 109.}"
22,23,"fire4/expand1x1","fire4/relu_expand1x1",87.,91.2,151.,58.,59.1,84.,151.,153.5333,216.,64.,62.3333,65.,94.4333,94.4333,132.,"{151., 99., 91., 98., 122., 100., 100., 100., 98., 100., 99., 99., 106., 101., 105., 90., 89., 90., 90., 91., 90., 90., 89., 91., 87., 90., 89., 89., 92., 89., 89., 90., 88., 90., 89., 89., 90., 89., 91., 89., 90., 90., 89., 91., 90., 90., 89., 89., 89., 91.}","{84., 67., 61., 61., 61., 60., 61., 60., 60., 59., 59., 60., 59., 59., 59., 60., 59., 59., 59., 59., 60., 59., 59., 59., 59., 59., 60., 58., 59., 59., 59., 58., 59., 59., 59., 58., 59., 59., 59., 59., 59., 59., 59., 58., 59., 59., 58., 58., 59., 58.}","{216., 161., 186., 176., 171., 172., 171., 173., 190., 154., 153., 152., 151., 153., 153., 154., 154., 153., 151., 165., 156., 153., 153., 154., 151., 154., 152., 153., 152., 152., 154., 153., 152., 152., 152., 153., 153., 154., 152., 152., 152., 152., 151., 153., 157., 167., 154., 153., 152., 152.}"
23,24,"fire4/relu_expand1x1","fire4/expand3x3",57.,58.4667,81.,371.,373.8333,453.,"","","","","","","","","","{81., 64., 60., 59., 74., 61., 59., 59., 59., 59., 59., 59., 57., 59., 59., 58., 58., 58., 58., 58., 58., 58., 58., 69., 60., 60., 58., 59., 59., 58., 58., 59., 58., 58., 58., 59., 58., 58., 58., 58., 58., 58., 59., 58., 57., 58., 58., 59., 59., 58.}","{453., 389., 379., 374., 375., 373., 374., 374., 373., 373., 373., 372., 387., 374., 373., 431., 418., 425., 374., 372., 372., 372., 375., 375., 373., 372., 371., 372., 372., 372., 372., 372., 372., 385., 374., 372., 372., 372., 372., 373., 372., 408., 418., 423., 391., 373., 376., 373., 373., 372.}",""
24,25,"fire4/expand3x3","fire4/relu_expand3x3",371.,373.90000000000003,452.,58.,59.066700000000004,80.,435.,437.70000000000005,525.,64.,63.800000000000004,73.,378.6333,378.6333,445.,"{452., 380., 375., 392., 375., 373., 448., 422., 427., 374., 374., 374., 372., 388., 375., 373., 374., 372., 377., 374., 372., 371., 372., 373., 385., 373., 372., 372., 372., 371., 372., 375., 417., 417., 432., 374., 372., 373., 372., 371., 373., 371., 372., 371., 386., 372., 371., 373., 372., 372.}","{80., 65., 62., 60., 59., 60., 59., 59., 59., 60., 59., 59., 58., 59., 59., 59., 59., 58., 60., 60., 59., 58., 59., 59., 58., 59., 59., 59., 59., 59., 67., 61., 59., 59., 59., 59., 59., 59., 59., 58., 59., 59., 59., 59., 76., 60., 59., 59., 59., 59.}","{525., 459., 440., 437., 438., 437., 437., 436., 436., 437., 450., 437., 436., 436., 435., 437., 435., 435., 521., 497., 458., 438., 437., 437., 437., 437., 437., 437., 444., 438., 437., 436., 436., 436., 436., 437., 436., 449., 437., 436., 491., 490., 489., 436., 436., 436., 444., 440., 439., 439.}"
25,26,"fire4/relu_expand3x3","fire4/concat",58.,58.900000000000006,79.,96.,97.33330000000001,126.,"","","","","","","","","","{79., 65., 61., 60., 59., 60., 59., 59., 59., 59., 60., 59., 59., 59., 59., 59., 59., 59., 59., 59., 58., 58., 58., 59., 59., 59., 59., 58., 58., 59., 59., 59., 59., 58., 58., 59., 58., 59., 59., 59., 58., 58., 58., 59., 59., 59., 59., 58., 59., 58.}","{126., 106., 99., 98., 97., 97., 97., 97., 97., 97., 107., 98., 97., 98., 99., 97., 98., 96., 112., 99., 97., 98., 97., 97., 98., 97., 98., 98., 97., 98., 98., 98., 97., 97., 97., 97., 98., 97., 97., 97., 97., 97., 97., 97., 97., 97., 97., 98., 97., 97.}",""
26,27,"fire4/concat","fire5/squeeze1x1",96.,97.5,120.,77.,78.33330000000001,169.,173.,176.0333,244.,77.,78.5333,124.,97.7,97.7,75.,"{120., 102., 98., 98., 98., 98., 97., 98., 97., 98., 98., 107., 102., 99., 97., 98., 98., 96., 99., 98., 98., 97., 97., 98., 98., 97., 98., 97., 97., 97., 98., 97., 97., 98., 97., 97., 97., 98., 97., 111., 97., 98., 97., 97., 97., 97., 97., 97., 97., 97.}","{169., 89., 82., 79., 80., 79., 79., 79., 80., 79., 79., 79., 78., 79., 78., 78., 78., 79., 78., 77., 79., 80., 78., 79., 78., 91., 82., 78., 77., 78., 78., 79., 78., 77., 77., 78., 78., 78., 78., 77., 78., 77., 77., 78., 78., 78., 78., 78., 78., 78.}","{244., 210., 202., 177., 174., 177., 176., 175., 177., 178., 175., 177., 177., 177., 176., 177., 175., 177., 176., 177., 176., 176., 176., 184., 178., 176., 177., 176., 176., 177., 175., 173., 175., 176., 175., 175., 175., 176., 176., 174., 175., 176., 176., 175., 175., 176., 189., 175., 173., 173.}"
