"name","min_time","mean_time","max_time","raw_time"
"CycleGAN_Winter-to-Summer_Translation",1.447718e6,1.44842e6,1.45223e6,"{1.45223*^6, 1.448619*^6, 1.448059*^6, 1.448809*^6, 1.447887*^6, 1.447718*^6, 1.448537*^6, 1.448059*^6, 1.449116*^6, 1.448437*^6}"
"CycleGAN_Zebra-to-Horse_Translation_Trained_on_ImageNet_Competition_Data",1.451522e6,1.4519185e6,1.454768e6,"{1.454768*^6, 1.452167*^6, 1.45165*^6, 1.452091*^6, 1.451759*^6, 1.451737*^6, 1.452043*^6, 1.451933*^6, 1.451522*^6, 1.451948*^6}"
"Deep_Speech_2_Trained_on_Baidu_English_Data",9844.,14143.3333,16128.,"{16128., 15286., 15150., 15223., 15099., 15150., 14276., 9844., 9962., 9942.}"
"Dilated_ResNet-105_Trained_on_Cityscapes_Data",5.609716e6,5.6149278333e6,5.677201e6,"{5.677201*^6, 5.617317*^6, 5.617107*^6, 5.614401*^6, 5.611917*^6, 5.615528*^6, 5.614859*^6, 5.612824*^6, 5.609716*^6, 5.614848*^6}"
"Dilated_ResNet-22_Trained_on_Cityscapes_Data",3.46584e6,3.4678708333e6,3.490297e6,"{3.490297*^6, 3.469117*^6, 3.467579*^6, 3.469273*^6, 3.466046*^6, 3.467801*^6, 3.467771*^6, 3.467352*^6, 3.467605*^6, 3.46584*^6}"
"Dilated_ResNet-38_Trained_on_Cityscapes_Data",4.026106e6,4.0278683333e6,4.054834e6,"{4.054834*^6, 4.02716*^6, 4.026999*^6, 4.026106*^6, 4.028137*^6, 4.029278*^6, 4.027182*^6, 4.028478*^6, 4.027031*^6, 4.029222*^6}"
"ELMo_Contextual_Word_Representations_Trained_on_1B_Word_Benchmark","","","",""
"Enhanced_Super-Resolution_GAN_Trained_on_DIV2K,_Flickr2K_and_OST_Data","","","",""
"Gender_Prediction_VGG-16_Trained_on_IMDB-WIKI_Data",154537.,155167.1667,156715.,"{156715., 155253., 154842., 155254., 154864., 155167., 154784., 155623., 154537., 155794.}"
"GloVe_100-Dimensional_Word_Vectors_Trained_on_Tweets","","","",""
"GloVe_100-Dimensional_Word_Vectors_Trained_on_Wikipedia_and_Gigaword_5_Data","","","",""
"GloVe_200-Dimensional_Word_Vectors_Trained_on_Tweets","","","",""
"GloVe_25-Dimensional_Word_Vectors_Trained_on_Tweets","","","",""
"GloVe_300-Dimensional_Word_Vectors_Trained_on_Common_Crawl_42B","","","",""
"GloVe_300-Dimensional_Word_Vectors_Trained_on_Common_Crawl_840B","","","",""
"GloVe_300-Dimensional_Word_Vectors_Trained_on_Wikipedia_and_Gigaword_5_Data","","","",""
"GloVe_50-Dimensional_Word_Vectors_Trained_on_Tweets","","","",""
"GloVe_50-Dimensional_Word_Vectors_Trained_on_Wikipedia_and_Gigaword_5_Data","","","",""
"GPT-2_Transformer_Trained_on_WebText_Data","","","",""
"GPT_Transformer_Trained_on_BookCorpus_Data","","","",""
"Inception_V1_Trained_on_Extended_Salient_Object_Subitizing_Data",45747.,45902.833300000006,46844.,"{46844., 45936., 45979., 45806., 45865., 45888., 46242., 45836., 45913., 45747.}"
"Inception_V1_Trained_on_ImageNet_Competition_Data",45634.,46048.333300000006,46727.,"{46727., 46506., 46070., 46015., 45814., 46018., 46024., 46317., 45634., 45846.}"
"Inception_V1_Trained_on_Places365_Data",46004.,46182.833300000006,46862.,"{46862., 46289., 46167., 46118., 46207., 46176., 46004., 46243., 46186., 46046.}"
"Inception_V3_Trained_on_ImageNet_Competition_Data",93602.,93950.6667,95609.,"{95609., 93649., 93948., 94049., 94039., 93867., 94056., 93745., 94064., 93602.}"
"LeNet_Trained_on_MNIST_Data",162.,179.,314.,"{297., 173., 162., 314., 205., 177., 173., 173., 173., 170.}"
"MobileNet_V2_Trained_on_ImageNet_Competition_Data",53614.,53840.6667,54985.,"{54985., 53744., 53648., 54329., 54073., 53803., 53820., 53768., 53836., 53614.}"
"Multi-scale_Context_Aggregation_Net_Trained_on_CamVid_Data",5.170745e6,5.175137e6,5.219905e6,"{5.219905*^6, 5.173553*^6, 5.177661*^6, 5.176131*^6, 5.173202*^6, 5.174964*^6, 5.170745*^6, 5.176921*^6, 5.176051*^6, 5.172966*^6}"
"Multi-scale_Context_Aggregation_Net_Trained_on_Cityscapes_Data",1.6804717e7,1.6820125e7,1.8880605e7,"{1.8880605*^7, 1.6841252*^7, 1.6820568*^7, 1.6815712*^7, 1.6813268*^7, 1.6804717*^7, 1.6811404*^7, 1.681943*^7, 1.6833412*^7, 1.681836*^7}"
"Multi-scale_Context_Aggregation_Net_Trained_on_PASCAL_VOC2012_Data","","","",""
"OpenFace_Face_Recognition_Net_Trained_on_CASIA-WebFace_and_FaceScrub_Data",7453.,7556.,8380.,"{8380., 7716., 7542., 7612., 7517., 7586., 7468., 7508., 7453., 7571.}"
"Pix2pix_Photo-to-Street-Map_Translation",813792.,814253.1667000001,815443.,"{815443., 815201., 814329., 814538., 814296., 813978., 813809., 814177., 813792., 814201.}"
"Pix2pix_Street-Map-to-Photo_Translation",817865.,818678.8333,820605.,"{820605., 819199., 818978., 818543., 818561., 817865., 818987., 818420., 818584., 818368.}"
"ResNet-101_Trained_on_Augmented_CASIA-WebFace_Data",75503.,75737.6667,79361.,"{79361., 76042., 75651., 75670., 75833., 75503., 75834., 75819., 75595., 75619.}"
"ResNet-101_Trained_on_ImageNet_Competition_Data",75532.,75836.8333,76661.,"{76661., 75867., 76080., 75831., 75685., 75979., 75703., 75956., 75532., 75684.}"
"ResNet-101_Trained_on_YFCC100m_Geotagged_Data",79724.,79979.1667,81472.,"{81472., 79990., 79977., 79795., 79933., 79975., 79990., 80143., 80010., 79724.}"
"ResNet-152_Trained_on_ImageNet_Competition_Data",108716.,108970.1667,110810.,"{110810., 108954., 108947., 108716., 109302., 108892., 108877., 108840., 109077., 109074.}"
"ResNet-50_Trained_on_ImageNet_Competition_Data",47044.,47304.6667,47903.,"{47903., 47110., 47202., 47337., 47440., 47044., 47671., 47192., 47524., 47133.}"
"Self-Normalizing_Net_for_Numeric_Data","","","",""
"Sentiment_Language_Model_Trained_on_Amazon_Product_Review_Data","","","",""
"Single-Image_Depth_Perception_Net_Trained_on_Depth_in_the_Wild_Data",1.929909e6,1.9309108333e6,3.701247e6,"{3.701247*^6, 1.931946*^6, 1.929909*^6, 1.930486*^6, 1.930798*^6, 1.929995*^6, 1.930393*^6, 1.930968*^6, 1.931619*^6, 1.931201*^6}"
"Single-Image_Depth_Perception_Net_Trained_on_NYU_Depth_V2_and_Depth_in_the_Wild_Data",1.924455e6,1.9260865e6,1.949975e6,"{1.949975*^6, 1.926031*^6, 1.926871*^6, 1.926101*^6, 1.92581*^6, 1.924455*^6, 1.925656*^6, 1.926537*^6, 1.925773*^6, 1.926267*^6}"
"Single-Image_Depth_Perception_Net_Trained_on_NYU_Depth_V2_Data",1.922621e6,1.9237871667000002e6,1.972534e6,"{1.972534*^6, 1.923888*^6, 1.92455*^6, 1.922686*^6, 1.924257*^6, 1.923808*^6, 1.923752*^6, 1.924233*^6, 1.922785*^6, 1.922621*^6}"
"Squeeze-and-Excitation_Net_Trained_on_ImageNet_Competition_Data",848995.,849499.,851320.,"{851320., 849770., 850278., 849503., 849455., 849403., 849468., 849395., 849067., 848995.}"
"SqueezeNet_V1.1_Trained_on_ImageNet_Competition_Data",13930.,14107.666700000002,15101.,"{15101., 14269., 14091., 14060., 14265., 13930., 14043., 14100., 14087., 13944.}"
"SSD-VGG-300_Trained_on_PASCAL_VOC_Data",341529.,342189.8333,344356.,"{344356., 341564., 342646., 342653., 342604., 342032., 342091., 341931., 341529., 341835.}"
"SSD-VGG-512_Trained_on_MS-COCO_Data",1.102389e6,1.1038813333e6,1.117616e6,"{1.117616*^6, 1.102389*^6, 1.104944*^6, 1.10271*^6, 1.103251*^6, 1.10403*^6, 1.105672*^6, 1.103676*^6, 1.103644*^6, 1.103743*^6}"
"SSD-VGG-512_Trained_on_PASCAL_VOC2007,_PASCAL_VOC2012_and_MS-COCO_Data",1.014835e6,1.0175048333e6,1.080075e6,"{1.028407*^6, 1.015109*^6, 1.015069*^6, 1.014954*^6, 1.014835*^6, 1.015113*^6, 1.014897*^6, 1.080075*^6, 1.021737*^6, 1.023047*^6}"
"U-Net_Trained_on_Glioblastoma-Astrocytoma_U373_Cells_on_a_Polyacrylamide_Substrate_Data",3.90844e6,3.9118873333e6,4.038197e6,"{4.038197*^6, 3.918219*^6, 3.911238*^6, 3.90844*^6, 3.91065*^6, 3.912928*^6, 3.915867*^6, 3.911023*^6, 3.909109*^6, 3.909618*^6}"
"Unguided_Volumetric_Regression_Net_for_3D_Face_Reconstruction",521087.,521462.1667,536712.,"{536712., 521422., 521668., 521087., 521457., 521606., 521455., 521154., 521332., 521501.}"
"Vanilla_CNN_for_Facial_Landmark_Regression",1300.,1349.3333,1500.,"{1500., 1418., 1442., 1306., 1301., 1312., 1303., 1300., 1315., 1476.}"
"Very_Deep_Net_for_Super-Resolution",835430.,836582.,842820.,"{842820., 837409., 836900., 835439., 835531., 838831., 836769., 836718., 836165., 835430.}"
"VGG-16_Trained_on_ImageNet_Competition_Data",155492.,156444.3333,175378.,"{156624., 155492., 156735., 155774., 156435., 156019., 175378., 169301., 156528., 156325.}"
"VGG-19_Trained_on_ImageNet_Competition_Data",181027.,181636.,184947.,"{182429., 181591., 181415., 184947., 181963., 181248., 181027., 181518., 181735., 181594.}"
"VGGish_Feature_Extractor_Trained_on_YouTube_Data",40826.,41022.1667,44983.,"{41850., 41226., 44983., 41045., 41003., 41091., 40826., 40857., 40851., 40911.}"
"Wide_ResNet-50-2_Trained_on_ImageNet_Competition_Data",89556.,89791.1667,90648.,"{90648., 89611., 89556., 89884., 89803., 90160., 89872., 89569., 89874., 89703.}"
"Wolfram_AudioIdentify_V1_Trained_on_AudioSet_Data",32012.,32186.833300000002,35231.,"{35231., 32264., 32248., 32219., 32215., 32017., 32094., 32353., 32012., 32081.}"
"Wolfram_C_Character-Level_Language_Model_V1","","","",""
"Wolfram_English_Character-Level_Language_Model_V1","","","",""
"Wolfram_ImageIdentify_Net_V1",37845.,38011.3333,39429.,"{39429., 38027., 38276., 38018., 37940., 38041., 37908., 38063., 37845., 37979.}"
"Wolfram_JavaScript_Character-Level_Language_Model_V1","","","",""
"Wolfram_LaTeX_Character-Level_Language_Model_V1","","","",""
"Wolfram_Python_Character-Level_Language_Model_V1","","","",""
"Yahoo_Open_NSFW_Model_V1",24618.,24799.5,25976.,"{25976., 24813., 24784., 24777., 24618., 24776., 24838., 24708., 25020., 24809.}"
"YOLO_V2_Trained_on_MS-COCO_Data",170857.,171142.5,185656.,"{180601., 171161., 171081., 170857., 171172., 171178., 185656., 171071., 171192., 171055.}"
